id,name,generation,effect,short_effect,pokemon
1,stench,generation-iii,"This Pokémon's damaging moves have a 10% chance to make the target flinch with each hit if they do not already cause flinching as a secondary effect.

This ability does not stack with a held item.

Overworld: The wild encounter rate is halved while this Pokémon is first in the party.",Has a 10% chance of making target Pokémon flinch with each hit.,"gloom, grimer, muk, koffing, weezing, stunky, skuntank, trubbish, garbodor, garbodor-gmax"
2,drizzle,generation-iii,"The weather changes to rain when this Pokémon enters battle and does not end unless replaced by another weather condition.

If multiple Pokémon with this ability, drought, sand stream, or snow warning are sent out at the same time, the abilities will activate in order of Speed, respecting trick room.  Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay.",Summons rain that lasts indefinitely upon entering battle.,"politoed, pelipper, kyogre"
3,speed-boost,generation-iii,This Pokémon's Speed rises one stage after each turn.,Raises Speed one stage after each turn.,"yanma, torchic, combusken, blaziken, ninjask, carvanha, sharpedo, yanmega, venipede, whirlipede, scolipede, flittle, espathra, blaziken-mega"
4,battle-armor,generation-iii,"Moves cannot score critical hits against this Pokémon.

This ability functions identically to shell armor.",Protects against critical hits.,"cubone, marowak, kabuto, kabutops, anorith, armaldo, skorupi, drapion, type-null, perrserker, falinks"
5,sturdy,generation-iii,"When this Pokémon is at full HP, any hit that would knock it out will instead leave it with 1 HP.  Regardless of its current HP, it is also immune to the one-hit KO moves: fissure, guillotine, horn drill, and sheer cold.

If this Pokémon is holding a focus sash, this ability takes precedence and the item will not be consumed.","Prevents being KOed from full HP, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP.","geodude, graveler, golem, magnemite, magneton, onix, sudowoodo, pineco, forretress, steelix, shuckle, skarmory, donphan, nosepass, aron, lairon, aggron, relicanth, regirock, shieldon, bastiodon, bonsly, magnezone, probopass, roggenrola, boldore, gigalith, sawk, dwebble, crustle, tirtouga, carracosta, tyrunt, carbink, bergmite, avalugg, togedemaru, cosmoem, nacli, naclstack, garganacl, archaludon, geodude-alola, graveler-alola, golem-alola, togedemaru-totem, avalugg-hisui, ogerpon-cornerstone-mask"
6,damp,generation-iii,"While this Pokémon is in battle, self destruct and explosion will fail and aftermath will not take effect.","Prevents self destruct, explosion, and aftermath from working while the Pokémon is in battle.","paras, parasect, psyduck, golduck, poliwag, poliwhirl, poliwrath, horsea, seadra, politoed, wooper, quagsire, kingdra, mudkip, marshtomp, swampert, frillish, jellicent, tadbulb, bellibolt"
7,limber,generation-iii,"This Pokémon cannot be paralyzed.

If a Pokémon is paralyzed and acquires this ability, its paralysis is healed; this includes when regaining a lost ability upon leaving battle.",Prevents paralysis.,"persian, hitmonlee, ditto, buneary, lopunny, glameow, purrloin, liepard, stunfisk, hawlucha, mareanie, toxapex, clobbopus, grapploct"
8,sand-veil,generation-iii,"During a sandstorm, this Pokémon has 1.25× its evasion, and it does not take sandstorm damage regardless of type.

The evasion bonus does not count as a stat modifier.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved in a sandstorm.",Increases evasion to 1.25× during a sandstorm.  Protects against sandstorm damage.,"sandshrew, sandslash, diglett, dugtrio, geodude, graveler, golem, gligar, phanpy, donphan, larvitar, cacnea, cacturne, gible, gabite, garchomp, gliscor, stunfisk, helioptile, heliolisk, sandygast, palossand, silicobra, sandaconda, wiglett, wugtrio, orthworm, diglett-alola, dugtrio-alola, sandaconda-gmax"
9,static,generation-iii,"Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being paralyzed.

Pokémon that are immune to electric-type moves can still be paralyzed by this ability.

Overworld: If the lead Pokémon has this ability, there is a 50% chance that encounters will be with an electric Pokémon, if applicable.",Has a 30% chance of paralyzing attacking Pokémon on contact.,"pikachu, raichu, voltorb, electrode, electabuzz, zapdos, pichu, mareep, flaaffy, ampharos, elekid, electrike, manectric, emolga, stunfisk, toxel, arctozolt, pawmi, tadbulb, bellibolt, pikachu-rock-star, pikachu-belle, pikachu-pop-star, pikachu-phd, pikachu-libre, pikachu-cosplay, pikachu-original-cap, pikachu-hoenn-cap, pikachu-sinnoh-cap, pikachu-unova-cap, pikachu-kalos-cap, pikachu-alola-cap, pikachu-partner-cap, pikachu-starter, pikachu-world-cap, pikachu-gmax, voltorb-hisui, electrode-hisui"
10,volt-absorb,generation-iii,"Whenever an electric-type move hits this Pokémon, it heals for 1/4 of its maximum HP, negating any other effect on it.

This ability will not take effect if this Pokémon is ground-type and thus immune to Electric moves.  Electric moves will ignore this Pokémon's substitute.

This effect includes non-damaging moves, i.e. thunder wave.","Absorbs electric moves, healing for 1/4 max HP.","jolteon, chinchou, lanturn, minun, pachirisu, zeraora, dracozolt, arctozolt, pawmo, pawmot, wattrel, kilowattrel, thundurus-therian"
11,water-absorb,generation-iii,"Whenever a water-type move hits this Pokémon, it heals for 1/4 of its maximum HP, negating any other effect on it.

Water moves will ignore this Pokémon's substitute.","Absorbs water moves, healing for 1/4 max HP.","poliwag, poliwhirl, poliwrath, lapras, vaporeon, chinchou, lanturn, politoed, wooper, quagsire, mantine, cacnea, cacturne, mantyke, tympole, palpitoad, seismitoad, maractus, frillish, jellicent, volcanion, dewpider, araquanid, dracovish, arctovish, clodsire, araquanid-totem, lapras-gmax, wooper-paldea, ogerpon-wellspring-mask"
12,oblivious,generation-iii,"This Pokémon cannot be infatuated and is immune to captivate.

If a Pokémon is infatuated and acquires this ability, its infatuation is cleared.",Prevents infatuation and protects against captivate.,"slowpoke, slowbro, lickitung, jynx, slowking, swinub, piloswine, smoochum, illumise, wailmer, wailord, numel, barboach, whiscash, feebas, spheal, sealeo, walrein, lickilicky, mamoswine, salandit, salazzle, bounsweet, steenee, dondozo, salazzle-totem"
13,cloud-nine,generation-iii,"While this Pokémon is in battle, weather can still be in play, but will not have any of its effects.

This ability functions identically to air lock.","Negates all effects of weather, but does not prevent the weather itself.","psyduck, golduck, lickitung, swablu, altaria, lickilicky, drampa"
14,compound-eyes,generation-iii,"This Pokémon's moves have 1.3× their accuracy.

This ability has no effect on the one-hit KO moves (fissure, guillotine, horn drill, and sheer cold).

Overworld: If the first Pokémon in the party has this ability, the chance of a wild Pokémon holding a particular item is raised from 50%, 5%, or 1% to 60%, 20%, or 5%, respectively.",Increases moves' accuracy to 1.3×.,"butterfree, venonat, yanma, dustox, nincada, joltik, galvantula, scatterbug, vivillon, blipbug, dottler, rellor, butterfree-gmax"
